GroupID,StateA,StateB,StateC


2,3652095,1099555,3952
3,668265,529021,4477
4,206144,194009,3977
5,60569,58288,3571
6,16525,14935,3104
7,4352,3505,2774
8,1419,872,2673
9,612,289,2537
10,335,111,2327
11,207,68,1983
12,137,50,1704
13,81,37,1319
14,65,11,1045
15,60,16,777
16,42,10,594
17,35,8,417
18,31,4,284
19,25,2,245
20,17,7,156
21,13,2,88
22,13,2,75
23,5,5,55
24,8,1,25
25,3,2,19
26,3,0,15
27,0,0,11
28,4,0,14
29,1,0,11
30,0,1,11
31,1,0,9
32,1,0,1
33,1,0,5
34,0,0,7
35,0,0,3
36,0,0,6
37,0,0,2
38,0,0,1
39,1,0,4
40,0,0,2
41,0,0,2
42,0,0,2
43,0,0,4
44,0,0,3
45,0,0,1
46,0,0,3
47,0,0,3
48,0,0,1
50,0,0,4
51,0,0,4
53,0,0,4
54,0,0,4
57,0,0,3
58,0,0,2
59,0,0,3
60,0,0,2
61,0,0,4
63,0,0,5
64,0,0,2
65,0,0,2
66,0,0,1
68,0,0,2
69,0,0,1
70,0,0,1
71,0,0,6
72,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,5
79,0,0,3
80,0,0,4
81,0,0,1
82,0,0,5
83,0,0,1
84,0,0,2
85,0,0,6
86,0,0,5
87,0,0,1
89,0,0,1
90,0,0,1
91,0,0,2
92,0,0,1
94,0,0,1
95,0,0,1
98,0,0,1
100,0,0,2
101,0,0,2
104,0,0,3
106,0,0,1
107,0,0,1
108,0,0,1
109,0,0,1
110,0,0,1
112,0,0,1
114,0,0,1
116,0,0,1
118,0,0,1
120,0,0,1
122,0,0,1
125,0,0,2
127,0,0,1
130,0,0,1
136,0,0,3
140,0,0,2
141,0,0,1
143,0,0,1
151,0,0,1
153,0,0,1
164,0,0,1
166,0,0,1
